Season,Name,Team,IP,vFA,vFC,vFS,vSI,vCH,vSL,vCU,vCS,vKN,vSB,playerid
2011,John Danks,White Sox,170.1,92.2,88.8,,91.8,83.8,,77.7,,,,6329
2010,Jeff Niemann,Rays,174.1,92.2,,,92.6,85.9,86.7,79.4,,,,8591
2013,Wade Miley,Diamondbacks,202.2,92.2,,,91.7,83.7,84.3,77.6,,,,8779
2012,Cliff Lee,Phillies,211,92.2,87.5,,92.4,85.6,80.8,75.1,,,,1636
2018,Derek Holland,Giants,171.1,92.2,,,92,83.5,81,79.8,,,,4141
2011,Chris Volstad,Marlins,165.2,92.2,,,92.1,85.3,85.1,79.3,,,,9901
2007,Chad Gaudin,Athletics,199.1,92.1,,,91.2,87.4,81.9,,,,,1783
2012,Wade Miley,Diamondbacks,194.2,92.1,,,91.6,81.8,82.4,76.8,,,,8779
2012,Gavin Floyd,White Sox,168,92.1,,,92,86.2,86.2,80.6,,,,3886
2009,Nick Blackburn,Twins,205.2,92.1,86.8,,91,82.3,,78.2,,,,4270
2015,Jeff Locke,Pirates,168.1,92.1,,,91.9,81.6,,80.1,,,,2929
2008,Oliver Perez,Mets,194,92.1,,,90.5,80.8,79.5,66.2,,,,1514
2009,Adam Wainwright,Cardinals,233,92.1,85.5,,91.2,82,,74.5,,,,2233
2012,Hiroki Kuroda,Yankees,219.2,92.1,,86.7,92.5,,84.3,76.9,,,,3283
2012,Josh Beckett,- - -,170.1,92.1,89.7,85.8,92.2,87.3,86.2,76.3,,,,510
2008,Johan Santana,Mets,234.1,92.1,,,91.8,80.8,84.1,,,,,755
2009,John Lackey,Angels,176.1,92.1,,,91.7,84.6,82.6,79.3,,,,1507
2016,Gio Gonzalez,Nationals,177.1,92.1,,,91.4,84.5,,78,,,,7448
2014,Mike Leake,Reds,214.1,92.1,90.6,,91.6,85.3,82.2,80.4,,,,10130
2010,Anibal Sanchez,Marlins,195,92.1,,,92,84.3,85.1,76.9,,,,3284
2013,Jose Quintana,White Sox,200,92.1,88.7,,92.2,85.7,,80.1,,,,11423
2009,Javier Vazquez,Braves,219.1,92.1,,,91.5,80.2,84.5,73.6,,,,801
2010,Chris Carpenter,Cardinals,235,92,87,,92,84.9,,74.7,,,,1292
2018,Jose Quintana,Cubs,174.1,92,,,92,86.8,,76.5,,,,11423
2013,Hiroki Kuroda,Yankees,201.1,92,,86.8,92.3,,84.5,76.6,,,,3283
2008,Daisuke Matsuzaka,Red Sox,167.2,92,88.4,82.3,91.2,,81.2,76.3,,,,7775
2018,Dylan Bundy,Orioles,171.2,92,,,91.9,84.1,81.8,75,,,,12917
2011,Jhoulys Chacin,Rockies,194,92,,,91,85,83.3,79.6,,,,2608
2016,Hector Santiago,- - -,182,92,86.9,,,83.3,81.9,75.6,,,,4026
2012,Ryan Vogelsong,Giants,189.2,92,89,,91.6,84.1,,77.4,,,,1011
2016,Masahiro Tanaka,Yankees,199.2,92,88.6,86.9,90.3,,84.4,76,,,,15764
2015,Jose Quintana,White Sox,206.1,92,90.5,,92,86.2,,80.1,,,,11423
2007,Adam Wainwright,Cardinals,202,92,85.7,,91.8,82.8,,74.4,,,,2233
2011,Matt Cain,Giants,221.2,92,,,91.4,86.3,86.5,78.5,,,,4732
2015,A.J. Burnett,Pirates,164,92,,,91.5,85.6,,82.4,,,,512
2007,Cole Hamels,Phillies,183.1,92,,,,83.2,,78.8,,,,4972
2010,John Danks,White Sox,213,92,87.6,,90.4,82.9,,77.3,,,,6329
2017,Julio Teheran,Braves,188.1,92,,,91.8,82.8,83.1,73.8,,,,6797
2016,Julio Teheran,Braves,188,91.9,,,90.5,82.9,81.8,72.3,,,,6797
2013,Adam Wainwright,Cardinals,241.2,91.9,88.5,,91.5,84.5,,75.8,,,,2233
2018,Tanner Roark,Nationals,180.1,91.9,89.5,,91.7,83.8,85.3,75.1,,,,8753
2012,Wei-Yin Chen,Orioles,192.2,91.9,,,91.2,84.9,81.1,72,,,,13071
2010,John Lackey,Red Sox,215,91.9,,,91,84.9,84.1,80,,,,1507
2009,Trevor Cahill,Athletics,178.2,91.9,,,89.8,80.5,84,80.3,,,,6249
2014,Tanner Roark,Nationals,198.2,91.9,,,91.9,82.8,84,74.2,,,,8753
2016,Drew Pomeranz,- - -,170.2,91.9,86.5,,90.1,86.8,85.7,80,,,,11426
2008,Ryan Dempster,Cubs,206.2,91.9,,83,91.8,,85.2,,,,,517
2012,Ricky Romero,Blue Jays,181,91.9,,,91.4,83.5,86.4,77.6,,,,3403
2011,James Shields,Rays,249.1,91.9,87.3,,91.2,84.6,,78.4,,,,7059
2007,Aaron Cook,Rockies,166,91.9,83.9,,91.7,85.5,,80.5,,,,1571
2010,Cliff Lee,- - -,212.1,91.9,87.1,,92.4,85.5,79.9,76.4,,,,1636
2014,Hiroki Kuroda,Yankees,199,91.9,90,87,92.1,,83.6,77.2,,,,3283
2009,Jair Jurrjens,Braves,215,91.9,,,92,83.1,80.6,,,,,5556
2011,Tim Stauffer,Padres,185.2,91.9,86.6,,91.2,81.1,,77.7,,,,6432
2017,Jhoulys Chacin,Padres,180.1,91.9,89.2,,91.5,83.8,80.4,76.6,,,,2608
2015,Brett Anderson,Dodgers,180.1,91.8,,,91.2,84.1,82.7,76.6,,,,8223
2018,Jakob Junis,Royals,177,91.8,,,91.1,85.2,82.2,80.2,,,,13619
2011,Gavin Floyd,White Sox,193.2,91.8,,,91.5,84.9,86.1,79.3,,,,3886
2007,Tim Hudson,Braves,224.1,91.8,87.4,82.8,92,,82.2,76.9,,,,921
2015,Wade Miley,Red Sox,193.2,91.8,89.1,,91.6,83.7,85.1,77.6,,,,8779
2010,Ryan Dempster,Cubs,215.1,91.8,,82.5,91.8,,85.4,,,,,517
2008,John Danks,White Sox,195,91.8,87.3,,91.1,83.2,,77.8,,,,6329
2013,Cliff Lee,Phillies,222.2,91.8,87.7,,91.6,84.9,81.9,75.3,,,,1636
2008,Gavin Floyd,White Sox,206.1,91.8,,,91.5,82,85.7,79.6,,,,3886
2008,Scott Baker,Twins,172.1,91.8,84.6,,91,82.9,82,78.9,,,,6176
2018,Trevor Williams,Pirates,170.2,91.7,,,89.4,83.9,82.1,75.9,,,,16977
2014,Rick Porcello,Tigers,204.2,91.7,,,91.2,82.6,86.2,78.1,,,,2717
2017,Drew Pomeranz,Red Sox,173.2,91.7,86.9,,90.4,81.3,,79.6,,,,11426
2014,Chris Tillman,Orioles,207.1,91.7,86.3,,91.2,83.4,,76.2,,,,5279
2017,Clayton Richard,Padres,197.1,91.7,86.3,,90.6,84,,81.5,,,,3551
2011,C.J. Wilson,Rangers,223.1,91.7,87.9,,91.9,84.9,83.7,77.8,,,,3580
2016,Madison Bumgarner,Giants,226.2,91.7,87.6,,,84.1,,75.4,70.7,,,5524
2017,Jon Lester,Cubs,180.2,91.7,87.9,,90.5,84.9,,75.8,,,,4930
2016,Mike Leake,Cardinals,176.2,91.7,89.8,,91.1,85.3,81.4,78.7,,,,10130
2011,Jeremy Hellickson,Rays,189,91.7,,,90.5,80.7,,76.2,,,,4371
2012,Jon Niese,Mets,190.1,91.7,88.5,,90.8,84.5,,75.4,,,,4424
2008,Dana Eveland,Athletics,168,91.7,,,90.5,84,83.2,79.5,,,,5508
2013,C.J. Wilson,Angels,212.1,91.7,89.3,,92.2,86.2,83.2,78,,,,3580
2018,Rick Porcello,Red Sox,191.1,91.6,,,90.2,81.9,86.3,75,,,,2717
2009,James Shields,Rays,219.2,91.6,87.4,,91.2,82.7,,77.7,,,,7059
2007,Carlos Silva,Twins,202,91.6,,,92.1,81.9,83.9,,,,,973
2008,John Lackey,Angels,163.1,91.6,,,91.5,84,83.2,79.7,,,,1507
2015,Yovani Gallardo,Rangers,184.1,91.6,,,91.5,85.9,88.3,79.8,,,,8173
2009,Ryan Dempster,Cubs,200,91.6,,82.3,91.5,,85.4,,,,,517
2013,Yovani Gallardo,Brewers,180.2,91.6,,,91.4,86.4,87,78.9,,,,8173
2012,Joe Blanton,- - -,191,91.6,86.8,,91,84,84,78.3,,,,4849
2008,Kyle Lohse,Cardinals,200,91.6,,,91.3,82.6,84.1,75.3,,,,739
2013,Kevin Correia,Twins,185.1,91.5,89.2,,91.3,86.5,,78.8,,,,1767
2014,C.J. Wilson,Angels,175.2,91.5,88.5,,91.7,85.9,82.7,77.2,,83.4,,3580
2012,Tim Lincecum,Giants,186,91.5,,84.3,91.4,,84.4,78.7,,,,5705
2013,Mike Leake,Reds,192.1,91.5,89.2,,91.2,84.7,81.2,79.3,,,,10130
2014,Kyle Kendrick,Phillies,199,91.5,87.9,82.1,90.5,,,78.2,,,,6230
2008,James Shields,Rays,215,91.5,88.2,,91.2,82.7,,77.7,,,,7059
2008,Jon Garland,Angels,196.2,91.5,83.4,,90.9,81.4,,76.8,,,,232
2010,Chris Volstad,Marlins,175,91.5,,,91.6,84.5,84.8,78.5,,,,9901
2008,Dan Haren,Diamondbacks,216,91.5,87.2,85.8,91.6,86.4,,81.2,,,,1757
2010,Tim Hudson,Braves,228.2,91.5,86.1,84.8,91.6,81.3,81.7,76.2,,,,921
2011,Ricky Nolasco,Marlins,206,91.5,,83.1,91.1,,84.5,79.2,75.9,,,3830
2014,Jake Odorizzi,Rays,168,91.5,86.7,84.8,91.6,,83,70.3,,,,6397
2018,Jon Lester,Cubs,181.2,91.5,88.4,,90.6,85.4,,75.1,,,,4930
2008,Tim Redding,Nationals,182,91.5,,,90.5,83.2,85.4,78.2,,,,573
2013,Jeremy Hellickson,Rays,174,91.5,89.7,,91.3,80.5,,76.9,,,,4371
2013,Jhoulys Chacin,Rockies,197.1,91.5,,,90.3,83.1,81.5,77,,,,2608
2007,John Lackey,Angels,224,91.5,,,91.7,83.2,82.8,79.8,,,,1507
2010,Brad Bergesen,Orioles,170,91.4,,,90.3,83.2,82.5,,,,,8375
2013,Felix Doubront,Red Sox,162.1,91.4,86.9,,90.8,83.5,,75.1,,,,1478
2007,Chris Young,Padres,173,91.4,,,,82.5,81.9,73.5,,,,3196
2010,Adam Wainwright,Cardinals,230.1,91.4,86.4,,91.7,83.5,,74.6,,,,2233
2011,Javier Vazquez,Marlins,192.2,91.4,,,91.1,80.3,83.2,74,,,,801
2014,Bartolo Colon,Mets,202.1,91.4,87.4,,88.6,82.3,83,,,,,375
2016,Jerad Eickhoff,Phillies,197.1,91.4,,,91.7,84.4,82.4,75.5,,,,12664
2017,John Lackey,Cubs,170.2,91.4,,,91,83.8,82.7,77.8,,,,1507
2009,Cliff Lee,- - -,231.2,91.4,86.4,,91.8,84.3,78.9,76.2,,,,1636
2010,C.J. Wilson,Rangers,204,91.4,88.2,,91.9,83.3,83.4,76.3,,,,3580
2011,Rick Porcello,Tigers,182,91.4,,,90.6,81.7,84.4,76.8,,,,2717
2010,Jonathan Sanchez,Giants,193.1,91.4,,81.9,91.3,,,81.3,,,,7507
2013,Tim Lincecum,Giants,197.2,91.4,,84.6,91.2,,82.9,76.7,,,,5705
2012,Jake Peavy,White Sox,219,91.4,85.8,,91.4,83.9,82.8,79.9,,,,1051
2013,Ian Kennedy,- - -,181.1,91.4,87,,90.2,81.5,,78.8,,,,6986
2008,Randy Johnson,Diamondbacks,184,91.4,,,84.8,,84.7,,,,,60
2009,Joe Saunders,Angels,186,91.4,,,90.7,82.9,81.6,76.6,,,,4366
2009,Johan Santana,Mets,166.2,91.4,,,90.4,81.9,82.9,,,,,755
2007,Tom Gorzelanny,Pirates,201.2,91.3,,,90.4,83.7,81.9,74.5,,,,6244
2018,Jake Odorizzi,Twins,164.1,91.3,85.1,84.5,91.3,83.6,83,72.8,,,,6397
2018,Patrick Corbin,Diamondbacks,200,91.3,,,91.3,81.4,82.1,72.8,,,,9323
2013,Jeff Locke,Pirates,166.1,91.3,,,91,81.7,,80.5,,,,2929
2015,Collin McHugh,Astros,203.2,91.3,87.6,,,83.2,78.3,73.7,,,,7531
2007,Dontrelle Willis,Marlins,205.1,91.3,,,89.1,82.5,84,78.8,,,,1703
2010,Joe Saunders,- - -,203.1,91.3,,,91.1,82.5,81.1,76.6,,,,4366
2012,Mike Leake,Reds,179,91.3,89.4,,90.5,84.7,81.7,78.5,,,,10130
2007,James Shields,Devil Rays,215,91.3,87.8,,91,83.4,,78,,,,7059
2017,Ricky Nolasco,Angels,181,91.3,,81.1,91.1,,81.3,,73.9,,,3830
2010,Ricky Romero,Blue Jays,210,91.3,,,90.3,84.5,81.6,75.8,,,,3403
2009,Kevin Correia,Padres,198,91.3,,,91.4,84.3,85.7,76.5,,,,1767
2015,CC Sabathia,Yankees,167.1,91.3,81.9,,90.5,84.5,79.8,,,,,404
2012,Kevin Correia,Pirates,171,91.3,88.5,,91.3,87,,78,,,,1767
2013,Mike Minor,Braves,204.2,91.2,,,91,85.1,85.1,80.6,,,,10021
2016,Ricky Nolasco,- - -,197.2,91.2,,80,90.9,80.9,81.8,77.5,73.9,,,3830
2013,Ricky Nolasco,- - -,199.1,91.2,,80.8,91,,82.8,,75.2,,,3830
2011,Ryan Dempster,Cubs,202.1,91.2,83.8,82.5,91,85.5,85.9,64,,,,517
2014,Ryan Vogelsong,Giants,184.2,91.2,88.7,,91,84.3,77.3,77.6,,,,1011
2016,Wade Miley,- - -,166,91.2,87.6,,90.9,83.1,84.3,77.7,71.3,,,8779
2012,Mike Minor,Braves,179.1,91.2,,,,84.6,84.1,80,,,,10021
2010,Colby Lewis,Rangers,201,91.2,,,90.2,85.7,84.3,78.1,,,,1259
2014,Roberto Hernandez,- - -,164.2,91.2,,,91.1,84,84.7,79.7,,,,3273
2014,Adam Wainwright,Cardinals,227,91.2,87.3,,91.1,83.7,83.1,75.4,,,,2233
2018,Matthew Boyd,Tigers,170.1,91.1,,,89.7,78.9,81,72.6,,,,15440
2016,Jaime Garcia,Cardinals,171.2,91.1,,,91,82.6,81.8,75.5,,,,8137
2008,Cliff Lee,Indians,223.1,91.1,85.5,,91.5,83.1,78.6,75,,,,1636
2007,Joe Blanton,Athletics,230,91.1,,,90.5,83.4,82.5,74.3,,,,4849
2011,Philip Humber,White Sox,163,91.1,,,91.2,84.4,84.7,80.4,,,,8586
2016,James Shields,- - -,181.2,91.1,86.8,,90.5,84.1,81.9,77.7,68.6,,,7059
2009,Jason Marquis,Rockies,216,91.1,,,90.6,83.1,85.1,77.4,,,,105
2011,Ian Kennedy,Diamondbacks,222,91.1,86.6,,90.7,81.8,,78.3,,,,6986
2009,John Danks,White Sox,200.1,91.1,86.7,,,82.7,,77,,,,6329
2013,Hyun-Jin Ryu,Dodgers,192,91.1,,,,80.1,82.4,72.4,,,,14444
2008,Jesse Litsch,Blue Jays,176,91,,,90.1,81.2,85.9,77.6,,,,3688
2012,Ryan Dempster,- - -,173,91,87.9,82.2,90.3,,85.2,,,,,517
2009,Carl Pavano,- - -,199.1,91,,81.6,91.2,,83.5,79.2,,,,790
2010,Dan Haren,- - -,235,91,86.7,85.9,91.2,86.4,,79.5,,,,1757
2015,Bartolo Colon,Mets,194.2,91,86.8,,88,81.9,82.7,,,,,375
2009,Dan Haren,Diamondbacks,229.1,91,87,85.4,91.1,84.4,,78.6,,,,1757
2007,Aaron Harang,Reds,231.2,91,,,91.5,84.2,83.4,73.9,,,,1451
2012,Ricky Nolasco,Marlins,191,91,,81.7,90.8,,84,79.8,75.6,,,3830
2016,Collin McHugh,Astros,184.2,91,87.4,,90,84.3,85.1,73.1,,,,7531
2010,Jered Weaver,Angels,224.1,91,,,90.3,79.1,79.5,71.1,,,,4235
2007,Jason Marquis,Cubs,191.2,91,,,91.1,83.3,86.4,74.1,,,,105
2017,Zack Greinke,Diamondbacks,202.1,91,,,91,87.4,84.2,74.4,65.5,,,1943
2007,Jon Garland,White Sox,208.1,90.9,82.5,,90.8,80,,74.8,,,,232
2008,Brett Myers,Phillies,190,90.9,,,88.5,83,85.3,78.2,70.5,,,962
2009,Cole Hamels,Phillies,193.2,90.9,,,90.1,80.7,,76.1,,,,4972
2010,Brett Cecil,Blue Jays,172.2,90.9,87.3,,89.9,81.9,84.6,77.2,,,,2660
2016,Kenta Maeda,Dodgers,175.2,90.9,,,90.2,83.2,82.1,73.2,,,,18498
2011,Trevor Cahill,Athletics,207.2,90.9,,,89.9,81.4,84.1,79.6,,,,6249
2015,Hector Santiago,Angels,180.2,90.9,86.9,,87.6,83.5,80.6,74.8,,,73.4,4026
2016,Drew Smyly,Rays,175.1,90.9,85.2,,90.6,80.7,,76.4,,,,11760
2008,Jason Marquis,Cubs,167,90.9,,,90.7,84.7,84.9,77.8,,,,105
2009,Aaron Harang,Reds,162.1,90.9,,,90.1,82.5,81.7,73.9,,,,1451
2011,Doug Fister,- - -,216.1,90.9,87.5,83.5,90.6,,85.9,75.9,,,,9425
2007,Rich Hill,Cubs,195,90.9,,,90.6,82.9,82.7,73.7,,,,4806
2011,Tim Hudson,Braves,215,90.8,85.3,83.7,91.1,80.2,,76.7,,,,921
2012,Trevor Cahill,Diamondbacks,200,90.8,86.6,,90.2,81.8,,79.7,,,,6249
2010,Brian Matusz,Orioles,175.2,90.8,,,90.8,82.4,81.7,76.8,,,,2646
2018,Marco Gonzales,Mariners,166.2,90.8,87.6,,90.7,84.2,,78.6,,,,15467
2008,Paul Maholm,Pirates,206.1,90.8,,,90,84.4,80.3,73.9,,,,8678
2014,Jake Peavy,- - -,202.2,90.8,87.1,84.3,91,83.3,82.3,80.5,,,,1051
2017,Dan Straily,Marlins,181.2,90.8,,,90.4,83.7,84.1,73.9,,,,9460
2009,Wandy Rodriguez,Astros,205.2,90.8,,,90.4,84.4,,77.3,,,,2586
2011,Dan Haren,Angels,238.1,90.8,85.8,85.9,90.5,,,78.7,,,,1757
2012,Kyle Lohse,Cardinals,211,90.8,,,90.2,80.9,84.3,74.7,,,,739
2010,Randy Wells,Cubs,194.1,90.8,88,,90.2,84.6,85.1,,,,,4535
2011,Aaron Harang,Padres,170.2,90.7,,,90.5,83.3,82.8,75.3,,,,1451
2010,Jon Garland,Padres,200,90.7,85.7,,90.1,81.4,,77.7,,,,232
2016,Jeremy Hellickson,Phillies,189,90.7,86.1,,90.4,80.9,82.2,77.2,,,,4371
2009,Randy Wells,Cubs,165.1,90.7,89.3,,90.3,84.3,84.8,,,,,4535
2008,Jered Weaver,Angels,176.2,90.7,,,90.3,81.5,79.7,72.4,,,,4235
2016,Adam Wainwright,Cardinals,198.2,90.7,85.7,,90.8,82.9,,74.5,,,,2233
2012,Ian Kennedy,Diamondbacks,208.1,90.7,86.9,,,80.7,,78.7,,,,6986
2018,Gio Gonzalez,- - -,171,90.7,,,89.8,83.2,,76.2,,,,7448
2007,Derek Lowe,Dodgers,199.1,90.7,,,90.5,85.6,82.7,,,,,199
2010,Carl Pavano,Twins,221,90.7,,81.9,90.8,,84.3,,,,,790
2010,Jon Niese,Mets,173.2,90.7,86.3,,89.9,82,,75.3,,,,4424
2012,Tommy Hanson,Braves,174.2,90.6,,,90,80.8,81.6,73,,,,9129
2008,Cole Hamels,Phillies,227.1,90.6,,,89.5,80,,75.4,,,,4972
2013,Scott Feldman,- - -,181.2,90.6,88.8,,90.9,85.7,,76,,,,6283
2013,Kris Medlen,Braves,197,90.6,87.4,,90.2,82.8,84,77.5,,,,9417
2007,Wandy Rodriguez,Astros,182.2,90.5,,,90.5,84.1,,76.9,,,,2586
2013,Hisashi Iwakuma,Mariners,219.2,90.5,,86,89.7,,81.5,72.8,,,,13048
2011,Joe Saunders,Diamondbacks,212,90.5,,,90.1,81.8,83,76.7,,,,4366
2012,Wandy Rodriguez,- - -,205.2,90.5,,,89.9,84.6,,77.3,,,,2586
2013,Joe Saunders,Mariners,183,90.5,,,90.3,82.5,82.5,75.6,,,,4366
2007,Scott Olsen,Marlins,176.2,90.5,,,,83.6,82.7,,,,,4529
2015,Dallas Keuchel,Astros,232,90.5,87.4,,90.5,79.9,80.2,,,,,9434
2009,Paul Maholm,Pirates,194.2,90.5,88.1,,89.9,84.8,82.3,75.3,,,,8678
2008,Joe Blanton,- - -,197.2,90.5,,,89.9,83.3,82.7,75.3,,,,4849
2013,Kyle Lohse,Brewers,198.2,90.5,,,90.4,81.4,84.6,74.9,,,,739
2016,Mike Fiers,Astros,168.2,90.5,87,,89.8,83.2,82.1,74.8,,,,7754
2008,Derek Lowe,Dodgers,211,90.4,,,89.8,84.9,83.3,,,,,199
2010,Jaime Garcia,Cardinals,163.1,90.4,,,90.9,83.2,85.1,74,,,,8137
2017,Gio Gonzalez,Nationals,201,90.4,,,89.5,83.4,,75.1,,,,7448
2009,Joe Blanton,Phillies,195.1,90.4,89.7,,90,82.5,83.5,75.7,,,,4849
2018,Julio Teheran,Braves,175.2,90.4,,,89.9,83.1,80.6,72.8,,,,6797
2018,Jhoulys Chacin,Brewers,192.2,90.4,86.1,86.4,90.6,83.3,79.8,75.8,,,,2608
2010,Wandy Rodriguez,Astros,195,90.4,,,89.8,84.6,,76.4,,,,2586
2014,Dallas Keuchel,Astros,200,90.4,87.3,,90.5,79.9,80.4,,,,,9434
2010,Johan Santana,Mets,199,90.4,,,89.9,80.2,82.6,,,,,755
2009,Jon Garland,- - -,204,90.4,86.5,,90.2,80.5,,76.5,,,,232
2012,Aaron Harang,Dodgers,179.2,90.3,,,90.3,83.1,82.4,73.7,,,,1451
2007,Andy Pettitte,Yankees,215.1,90.3,85.5,,90.7,80.1,,74.7,,,,840
2010,Jeremy Bonderman,Tigers,171,90.3,,,90.2,85,81.9,,,,,1667
2016,Bartolo Colon,Mets,191.2,90.3,86.4,,87.8,81.5,82.3,,,,,375
2017,Jeremy Hellickson,- - -,164,90.3,87.1,,90.2,81.5,,76.9,,,,4371
2009,J.A. Happ,Phillies,166,90.3,,,,80.7,83,73.8,,,,7410
2017,Ty Blach,Giants,163.2,90.3,,,,80.5,79.8,76.8,,,,14361
2011,Jeff Karstens,Pirates,162.1,90.3,86.2,,88.9,81,79.6,71.3,,,,5879
2015,Aaron Harang,Phillies,172.1,90.3,88.7,,90.3,84.8,81.9,74.1,,,,1451
2012,Joe Saunders,- - -,174.2,90.3,,,89.6,80.8,,75.5,,,,4366
2011,Wandy Rodriguez,Astros,191,90.3,,,89.7,84.2,,76.5,,,,2586
2008,Aaron Harang,Reds,184.1,90.3,,,89.1,81.6,81.5,74.5,,,,1451
2015,Mike Fiers,- - -,180.1,90.3,86.2,,,83.8,82,73.3,,,,7754
2007,Paul Maholm,Pirates,177.2,90.2,,,89.5,81.6,78.6,73.5,,,,8678
2014,Hisashi Iwakuma,Mariners,179,90.2,87.4,85,89.2,,81,73.3,,,,13048
2015,Chris Heston,Giants,177.2,90.2,,,90,83,77.5,75,,,,10302
2008,Brandon Backe,Astros,166.2,90.2,87.5,,90.1,81,82.2,74.1,,,,1529
2013,Dillon Gee,Mets,199,90.2,,,90.4,84.4,82.8,75.9,,,,7396
2011,Jaime Garcia,Cardinals,194.2,90.2,,,90.5,83.3,86.2,73.7,,,,8137
2014,Kyle Lohse,Brewers,198.1,90.2,,,90.3,79.9,84.5,75.4,,,,739
2018,Dallas Keuchel,Astros,204.2,90.2,86.9,,89.5,80,79,,,,,9434
2013,Dan Haren,Nationals,169.2,90.2,86.2,84.3,89.6,,,78.9,,,,1757
2007,Nate Robertson,Tigers,177.2,90.2,,,89.6,82.4,83.1,,,,,1620
2017,Zach Davies,Brewers,191.1,90.1,86.9,,90.2,79.9,,73.8,,,,13183
2010,Brett Myers,Astros,223.2,90.1,,,89.6,82.9,83.8,76.8,,,,962
2011,Kyle Lohse,Cardinals,188.1,90.1,,,90.1,80.3,84,75,,,,739
2013,Travis Wood,Cubs,200,90.1,87.6,,89.7,79.3,78.5,71.5,,,,9884
2011,John Lannan,Nationals,184.2,90.1,,,90.2,85,81.2,75.1,,,,7080
2013,Ryan Dempster,Red Sox,171.1,90.1,88.4,81.6,88.7,,84.5,,,,,517
2017,Marco Estrada,Blue Jays,186,90.1,86.7,,,77.8,,77.7,,,,1118
2018,Mike Fiers,- - -,172,90,86,,89.7,83.8,82.7,72.9,,,,7754
2007,Dave Bush,Brewers,186.1,90,86.5,,90.1,83.5,,71.7,,,,4635
2007,Brandon Webb,Diamondbacks,236.1,90,,,89.9,81.1,,76.2,,,,1692
2010,Joe Blanton,Phillies,175.2,90,87.9,,89.9,82.5,83,77.6,,,,4849
2013,A.J. Griffin,Athletics,200,90,82,,,81.9,,69.3,,,,11132
2018,James Shields,White Sox,204.2,90,86.7,,89.5,83.9,,78.4,68.9,,,7059
2011,Jered Weaver,Angels,235.2,90,,,89.4,79.6,79.9,72.2,,,,4235
2016,Dan Straily,Reds,191.1,90,,,90.2,83,83.7,73.4,,,,9460
2014,Aaron Harang,Braves,204.1,90,88.1,,90.2,84.5,81.6,74.7,,,,1451
2015,Jon Niese,Mets,176.2,90,88,,89.6,83.4,81,75,,,,4424
2018,Zack Greinke,Diamondbacks,207.2,90,,,90.6,87,83.8,71.3,68,,,1943
2007,Bronson Arroyo,Reds,210.2,90,86.7,,89,79.9,,73.3,,,,978
2012,Scott Diamond,Twins,173,90,,,90,84.2,,82,,,,5089
2015,John Danks,White Sox,177.2,90,86.4,,90,81.4,,76.1,,,,6329
2014,Tim Hudson,Giants,189.1,89.9,84.2,83.2,89.7,81.3,,76.2,,,,921
2015,Marco Estrada,Blue Jays,181,89.9,88.4,,,79.2,,78,,,,1118
2010,Ian Kennedy,Diamondbacks,194,89.9,83.7,,89,80.8,,77,,,,6986
2016,Zach Davies,Brewers,163.1,89.8,86.2,,90.3,79.4,82.4,73.2,,,,13183
2013,Doug Fister,Tigers,208.2,89.8,86.6,81.1,89.7,,84.8,74.4,,,,9425
2013,Andy Pettitte,Yankees,185.1,89.8,84.1,,89.5,80.9,,75.7,,,,840
2012,Tim Hudson,Braves,179,89.8,85.2,83.4,89.8,80.9,82.8,76.5,,,,921
2011,Mike Leake,Reds,167.2,89.8,88.9,,89.8,84.2,83.1,77.7,,,,10130
2014,Colby Lewis,Rangers,170.1,89.8,,,88.8,84.2,83.8,77.7,,,,1259
2011,Colby Lewis,Rangers,200.1,89.7,,,88.8,83.4,84.5,76.9,,,,1259
2018,Mike Leake,Mariners,185.2,89.7,87.7,,89.2,84.1,80.5,78.7,,,,10130
2011,Brett Myers,Astros,216,89.7,,,89,83.7,83.3,76.4,,,,962
2009,Andy Pettitte,Yankees,194.2,89.7,84.8,,89.6,81.2,,76,,,,840
2008,Brian Bannister,Royals,182.2,89.7,86.2,,90.3,85.4,80.4,76.8,70.7,,,5718
2009,Zach Duke,Pirates,213,89.6,85.4,,89.5,82,81.2,74.8,,,,3840
2008,Zach Duke,Pirates,185,89.6,84.9,,89.6,83,79.6,74.1,,,,3840
2014,Travis Wood,Cubs,173.2,89.6,86.4,,89.1,80.3,80.3,72.9,,,,9884
2009,Jered Weaver,Angels,211,89.6,,,89,80.8,78.7,71.9,,,,4235
2009,Randy Wolf,Dodgers,214.1,89.6,86,,89,78.7,80.5,67.4,,,,976
2007,Brian Bannister,Royals,165,89.5,86.1,,,84.5,80.3,76.2,,,,5718
2011,Randy Wolf,Brewers,212.1,89.5,85,82.5,89.1,79.4,80.5,68.6,61.1,,,976
2014,Jon Niese,Mets,187.2,89.5,88.2,,89.2,82.8,,74.5,,,,4424
2014,Scott Feldman,Astros,180.1,89.4,87.8,,89.5,85,,75.5,67.6,,,6283
2009,Joel Pineiro,Cardinals,214,89.4,85.8,,89.2,83.7,,78,,,,1094
2010,Paul Maholm,Pirates,185.1,89.4,84.5,,88.9,82.7,81.5,73.5,65.9,,,8678
2015,Kyle Hendricks,Cubs,180,89.4,88.4,,88.7,80.5,,78.2,,,,12049
2015,Colby Lewis,Rangers,204.2,89.4,,,88.3,84.2,83.5,77.9,,,,1259
